               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.052666,             0.12616,           0.0017472,             0.85234,             0.78234,             0.83428,             0.41867,            0.048626,             0.11407,           0.0042958,           0.0072438,           0.0072438,           0.0072438
                 114,            0.051684,             0.11964,           0.0021343,             0.86221,             0.78914,              0.8242,             0.40728,            0.049123,             0.11126,           0.0040411,           0.0072003,           0.0072003,           0.0072003
                 115,            0.051177,             0.12416,           0.0021549,             0.87472,             0.78955,             0.84399,             0.42584,            0.048204,             0.11206,           0.0035746,           0.0071566,           0.0071566,           0.0071566
                 116,            0.051154,             0.12311,           0.0020211,             0.86694,             0.77888,             0.83869,             0.40819,             0.04945,             0.11282,           0.0045257,           0.0071127,           0.0071127,           0.0071127
                 117,            0.054139,             0.13226,           0.0019174,             0.86228,             0.78359,             0.83583,             0.42884,            0.047956,             0.11193,           0.0042626,           0.0070686,           0.0070686,           0.0070686
                 118,            0.052701,             0.12099,           0.0020778,             0.89837,             0.75688,             0.83611,             0.43133,            0.047826,             0.11274,           0.0042588,           0.0070243,           0.0070243,           0.0070243
                 119,            0.053329,               0.131,           0.0018315,             0.82071,             0.79094,              0.8167,             0.39536,            0.050338,             0.11335,           0.0049189,           0.0069799,           0.0069799,           0.0069799
                 120,            0.052569,             0.12483,           0.0021079,             0.87348,             0.79335,             0.84227,             0.41035,            0.048989,             0.11398,           0.0043336,           0.0069353,           0.0069353,           0.0069353
                 121,            0.051829,             0.12504,           0.0018527,             0.86272,             0.77531,             0.83386,             0.42961,            0.047584,             0.11138,           0.0043151,           0.0068906,           0.0068906,           0.0068906
                 122,             0.05173,             0.12594,           0.0022088,             0.88426,             0.76249,             0.83958,             0.42559,            0.048034,             0.11043,           0.0044619,           0.0068457,           0.0068457,           0.0068457
                 123,              0.0515,              0.1246,           0.0018135,             0.88182,             0.77638,             0.84319,             0.42785,            0.047689,             0.11255,           0.0038585,           0.0068006,           0.0068006,           0.0068006
                 124,            0.051598,             0.12341,           0.0019417,             0.86336,             0.78074,             0.83804,             0.40524,            0.048919,             0.11182,           0.0045936,           0.0067555,           0.0067555,           0.0067555
                 125,            0.051451,             0.12187,           0.0019724,             0.87539,             0.78112,             0.84127,             0.41304,            0.049057,             0.11301,           0.0046115,           0.0067101,           0.0067101,           0.0067101
                 126,            0.050606,              0.1196,           0.0019066,              0.8641,             0.78051,             0.83711,             0.43155,            0.048036,             0.11204,           0.0046526,           0.0066647,           0.0066647,           0.0066647
                 127,             0.05247,             0.13251,           0.0017187,             0.85064,             0.79976,             0.84444,             0.42855,            0.047842,              0.1127,           0.0046424,           0.0066191,           0.0066191,           0.0066191
                 128,            0.050917,             0.11563,           0.0019276,             0.92322,             0.76761,             0.84961,               0.418,            0.048375,             0.11219,           0.0050186,           0.0065734,           0.0065734,           0.0065734
                 129,            0.053092,             0.12887,            0.001839,             0.90719,             0.76129,              0.8438,             0.42186,            0.048584,              0.1137,           0.0048532,           0.0065276,           0.0065276,           0.0065276
                 130,            0.050377,             0.11974,           0.0017358,             0.89959,             0.75717,             0.81116,             0.40834,            0.049517,             0.11337,           0.0049186,           0.0064816,           0.0064816,           0.0064816
                 131,            0.051103,             0.12079,           0.0018035,             0.88794,              0.7798,             0.84178,             0.42872,             0.04883,             0.11202,           0.0050567,           0.0064356,           0.0064356,           0.0064356
                 132,            0.052673,             0.12372,           0.0019707,             0.89854,             0.78018,             0.83538,             0.41961,             0.04872,             0.11332,           0.0049596,           0.0063895,           0.0063895,           0.0063895
                 133,                0.05,             0.12228,           0.0018339,              0.8978,             0.75945,             0.84152,             0.42529,             0.04832,             0.11295,           0.0043762,           0.0063432,           0.0063432,           0.0063432
                 134,            0.050644,             0.11949,           0.0016773,              0.8771,             0.79119,             0.84433,             0.42308,            0.047798,              0.1114,           0.0049675,           0.0062969,           0.0062969,           0.0062969
                 135,            0.050616,             0.12181,           0.0017756,             0.90088,             0.76069,             0.83922,             0.42835,            0.047968,              0.1147,           0.0049404,           0.0062505,           0.0062505,           0.0062505
                 136,            0.052283,             0.12364,           0.0017912,             0.85145,              0.7734,             0.82317,             0.41563,            0.049032,             0.11167,           0.0046339,            0.006204,            0.006204,            0.006204
                 137,            0.049799,              0.1231,           0.0016038,             0.86235,               0.757,             0.81881,             0.42905,            0.048617,             0.11557,           0.0044757,           0.0061574,           0.0061574,           0.0061574
                 138,            0.050248,              0.1152,           0.0017579,             0.83896,             0.81688,             0.85028,             0.42444,            0.048736,             0.11435,           0.0043004,           0.0061107,           0.0061107,           0.0061107
                 139,              0.0494,             0.12274,           0.0016074,             0.87587,             0.76441,             0.83323,             0.42463,            0.047775,             0.11154,           0.0045116,            0.006064,            0.006064,            0.006064
                 140,            0.049345,             0.11973,           0.0018535,             0.85963,             0.78412,             0.83861,             0.41876,            0.047876,             0.11219,           0.0045056,           0.0060172,           0.0060172,           0.0060172
                 141,            0.050639,             0.12721,           0.0016313,              0.8961,             0.78168,             0.84875,             0.42602,            0.047691,             0.11051,           0.0046912,           0.0059704,           0.0059704,           0.0059704
                 142,             0.05121,              0.1284,           0.0016632,             0.86227,             0.80594,             0.85421,             0.42599,            0.047312,             0.11209,           0.0054297,           0.0059235,           0.0059235,           0.0059235
                 143,            0.050825,             0.11782,           0.0017511,             0.85011,               0.761,             0.81109,             0.41001,            0.049128,             0.11619,           0.0042778,           0.0058766,           0.0058766,           0.0058766
                 144,            0.049071,             0.11277,           0.0018724,             0.88159,             0.76189,             0.83643,             0.43108,            0.047838,             0.11544,           0.0042245,           0.0058296,           0.0058296,           0.0058296
                 145,            0.050401,             0.12543,             0.00149,             0.88723,             0.77449,             0.84332,             0.43856,            0.047602,             0.11454,           0.0039187,           0.0057826,           0.0057826,           0.0057826
                 146,            0.050834,             0.11583,           0.0019193,             0.87898,             0.79101,             0.84802,             0.43607,            0.047762,             0.11189,            0.003621,           0.0057355,           0.0057355,           0.0057355
                 147,            0.052996,             0.13363,           0.0014439,             0.87076,             0.78443,             0.84197,              0.4275,            0.047594,             0.11148,           0.0038606,           0.0056884,           0.0056884,           0.0056884
                 148,            0.049254,             0.11478,           0.0016998,             0.85387,             0.80048,             0.84097,             0.42228,            0.048247,             0.11267,           0.0039068,           0.0056413,           0.0056413,           0.0056413
                 149,            0.050165,             0.12097,           0.0013887,             0.88876,             0.79068,             0.85175,             0.43745,             0.04733,             0.11471,           0.0039074,           0.0055942,           0.0055942,           0.0055942
                 150,            0.050214,             0.11849,            0.001531,             0.88401,             0.79106,              0.8524,             0.43719,            0.047372,             0.11133,           0.0034752,           0.0055471,           0.0055471,           0.0055471
                 151,             0.05099,             0.11977,           0.0016773,             0.87335,             0.79776,             0.84984,             0.43208,            0.047893,             0.11288,           0.0035924,              0.0055,              0.0055,              0.0055
                 152,            0.050118,             0.12734,           0.0015607,             0.88792,              0.7805,             0.84794,             0.43712,            0.047721,             0.11173,           0.0042215,           0.0054529,           0.0054529,           0.0054529
